"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"learning-instructions","10","158419","0.0-3.0-1.0-0.6","spark_pilot_2","7336","7","13","Male","","","","","","","990.5999999996275","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","168448","0.0-3.0-1.0-0.7","spark_pilot_2","7336","7","13","Male","","","","","","","2960.5","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","172478","0.0-3.0-2.0-0.0","spark_pilot_2","7336","7","13","Male","","true","","","","","[]","./assets/img/space/0.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","",""
"html-keyboard-response","13","172984","0.0-3.0-2.0-1.0","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","177037","0.0-3.0-2.0-0.1","spark_pilot_2","7336","7","13","Male","","true","","","","","[]","./assets/img/space/1.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","",""
"html-keyboard-response","15","177552","0.0-3.0-2.0-1.1","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","181567","0.0-3.0-2.0-0.2","spark_pilot_2","7336","7","13","Male","","true","","","","","[]","./assets/img/space/2.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","",""
"html-keyboard-response","17","182071","0.0-3.0-2.0-1.2","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","189823","0.0-3.0-3.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","3053.600000000093","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","193847","0.0-3.0-4.0-0.0","spark_pilot_2","7336","7","13","Male","","false","","","","","[1041.6999999997206]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","194366","0.0-3.0-4.0-1.0","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","198386","0.0-3.0-4.0-0.1","spark_pilot_2","7336","7","13","Male","","false","","","","","[536]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","198902","0.0-3.0-4.0-1.1","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","202937","0.0-3.0-4.0-0.2","spark_pilot_2","7336","7","13","Male","","false","","","","","[502.6999999997206]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","24","203446","0.0-3.0-4.0-1.2","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","25","214787","0.0-3.0-5.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","1489.2000000001863","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","26","227470","0.0-3.0-5.0-0.1","spark_pilot_2","7336","7","13","Male","","","","","","","3541.7999999998137","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","244436","0.0-3.0-5.0-0.2","spark_pilot_2","7336","7","13","Male","","","","","","","5777.0999999996275","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","254845","0.0-3.0-5.0-0.3","spark_pilot_2","7336","7","13","Male","","","","","","","4036.899999999907","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","29","258872","0.0-3.0-6.0-0.0","spark_pilot_2","7336","7","13","Male","","false","","","","","[1053.3000000002794]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","30","259387","0.0-3.0-6.0-1.0","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","31","263427","0.0-3.0-6.0-0.1","spark_pilot_2","7336","7","13","Male","","false","","","","","[822.1999999997206]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","",""
"html-keyboard-response","32","263937","0.0-3.0-6.0-1.1","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","33","267966","0.0-3.0-6.0-0.2","spark_pilot_2","7336","7","13","Male","","false","","","","","[403.1999999997206]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","34","268486","0.0-3.0-6.0-1.2","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","35","272506","0.0-3.0-6.0-0.3","spark_pilot_2","7336","7","13","Male","","false","","","","","[317.60000000009313]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","",""
"html-keyboard-response","36","273016","0.0-3.0-6.0-1.3","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","37","294182","0.0-3.0-7.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","4354.199999999721","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","38","304622","0.0-3.0-7.0-0.1","spark_pilot_2","7336","7","13","Male","","","","","","","2174","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","39","310657","0.0-3.0-8.0-0.0","spark_pilot_2","7336","7","13","Male","","false","","","","","[1059.1000000000931,834.6000000000931]","./assets/img/space/6.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","40","311167","0.0-3.0-8.0-1.0","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","41","317202","0.0-3.0-8.0-0.1","spark_pilot_2","7336","7","13","Male","","false","","","","","[710.3000000002794,791.7000000001863]","./assets/img/space/7.jpg","[""ArrowUp"",""ArrowLeft""]","full practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","42","317716","0.0-3.0-8.0-1.1","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","43","323767","0.0-3.0-8.0-0.2","spark_pilot_2","7336","7","13","Male","","false","","","","","[899,984.2999999998137]","./assets/img/space/8.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","44","324287","0.0-3.0-8.0-1.2","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","45","330317","0.0-3.0-8.0-0.3","spark_pilot_2","7336","7","13","Male","","false","","","","","[1187.2999999998137,1294.7000000001863]","./assets/img/space/9.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","46","330827","0.0-3.0-8.0-1.3","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","47","336831","0.0-3.0-8.0-0.4","spark_pilot_2","7336","7","13","Male","","false","","","","","[897.3000000002794,937.7999999998137]","./assets/img/space/10.jpg","[""ArrowDown"",""ArrowLeft""]","full practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","48","337332","0.0-3.0-8.0-1.4","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","49","349711","0.0-3.0-9.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","2050.1999999997206","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","50","359840","0.0-3.0-9.0-0.1","spark_pilot_2","7336","7","13","Male","","","","","","","2968.5","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","51","363865","0.0-3.0-10.0-0.0","spark_pilot_2","7336","7","13","Male","","false","","","","","[756.7999999998137]","./assets/img/space/catch/0.jpg","[""ArrowDown""]","catch practice","space","-10","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown","true","","","","","","","",""
"html-keyboard-response","52","364370","0.0-3.0-10.0-1.0","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","53","368396","0.0-3.0-10.0-0.1","spark_pilot_2","7336","7","13","Male","","false","","","","","[701.8999999999069]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","54","368900","0.0-3.0-10.0-1.1","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","55","372910","0.0-3.0-10.0-0.2","spark_pilot_2","7336","7","13","Male","","false","","","","","[730.6000000000931]","./assets/img/space/catch/2.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","56","373415","0.0-3.0-10.0-1.2","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","57","388261","0.0-3.0-11.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","1248.5","<p> After you explore a place to find treasure, it will be time to play a different game. </p>
            <p> During this game, red dots will appear on the screen and fall down slowly. </p>
            <p><b> You must click on them before they reach the bottom. </b></p>
            <img src='./assets/img/instructions/dotGame.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","58","394935","0.0-3.0-11.0-0.1","spark_pilot_2","7336","7","13","Male","","","","","","","1003.1999999997206","<p> For every dot you click, you will earn additional treasure. </p>
            <p> Let’s try practicing that now. </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","59","409945","0.0-3.0-12.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","[84,77]","","","rest practice","","20","","","","","0","15000","","","","","",""
"learning-instructions","60","417267","0.0-3.0-13.0-0.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","2075.6999999997206","<p> Now, you will practice a shortened version of the game to get a sense of how it all fits together. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","61","421508","0.0-3.0-13.0-0.0-0.1","spark_pilot_2","7336","7","13","Male","","","","","","","1055.8999999999069","<p>This time you are searching for treasure in outer space.</p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","62","437793","0.0-3.0-13.0-1.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","1520.7999999998137","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","63","443840","0.0-3.0-13.0-2.0-0.0","spark_pilot_2","7336","7","13","Male","","false","","","","","[937.3999999999069,825.7999999998137]","./assets/img/space/11.jpg","[""ArrowDown"",""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","64","444349","0.0-3.0-13.0-2.0-1.0","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","65","450380","0.0-3.0-13.0-2.0-0.1","spark_pilot_2","7336","7","13","Male","","false","","","","","[1136.1000000000931,1189.7000000001863]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","66","450900","0.0-3.0-13.0-2.0-1.1","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","67","456920","0.0-3.0-13.0-2.0-0.2","spark_pilot_2","7336","7","13","Male","","false","","","","","[1261.8999999999069,765.5]","./assets/img/space/13.jpg","[""ArrowDown"",""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","68","457440","0.0-3.0-13.0-2.0-1.2","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","69","463470","0.0-3.0-13.0-2.0-0.3","spark_pilot_2","7336","7","13","Male","","false","","","","","[1057.6999999997206,807.7999999998137]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","70","463974","0.0-3.0-13.0-2.0-1.3","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","71","469989","0.0-3.0-13.0-2.0-0.4","spark_pilot_2","7336","7","13","Male","","false","","","","","[1512.3999999999069,639.6999999997206]","./assets/img/space/11.jpg","[""ArrowDown"",""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","72","470491","0.0-3.0-13.0-2.0-1.4","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","73","476495","0.0-3.0-13.0-2.0-0.5","spark_pilot_2","7336","7","13","Male","","false","","","","","[1047.1000000000931,698.8000000002794]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","74","476996","0.0-3.0-13.0-2.0-1.5","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","75","483000","0.0-3.0-13.0-2.0-0.6","spark_pilot_2","7336","7","13","Male","","false","","","","","[661.1000000000931,351.1999999997206]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","76","483502","0.0-3.0-13.0-2.0-1.6","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","77","489506","0.0-3.0-13.0-2.0-0.7","spark_pilot_2","7336","7","13","Male","","false","","","","","[531.8000000002794,443.39999999990687]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","78","490008","0.0-3.0-13.0-2.0-1.7","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","79","494013","0.0-3.0-13.0-2.0-0.8","spark_pilot_2","7336","7","13","Male","","false","","","","","[1104.6999999997206]","./assets/img/space/catch/3.jpg","[""spaceBar""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","80","494514","0.0-3.0-13.0-2.0-1.8","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","81","509275","0.0-3.0-13.0-3.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","1302.8999999999069","<p> Now, you will travel with a friend who will choose whether you go up or down first. </p>
            <p> On these turns, you will just see the animal that they found. You will still get to choose which chest to search for treasure.</p>","","instructions","","","","","","","","","","","","","",""
"revaluation","82","513321","0.0-3.0-13.0-4.0-0.0","spark_pilot_2","7336","7","13","Male","","false","","","","","[1570.6000000000931]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","83","513840","0.0-3.0-13.0-4.0-1.0","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","84","517871","0.0-3.0-13.0-4.0-0.1","spark_pilot_2","7336","7","13","Male","","false","","","","","[341.5]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","85","518384","0.0-3.0-13.0-4.0-1.1","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","86","522401","0.0-3.0-13.0-4.0-0.2","spark_pilot_2","7336","7","13","Male","","false","","","","","[401.10000000009313]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","87","522910","0.0-3.0-13.0-4.0-1.2","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","88","526950","0.0-3.0-13.0-4.0-0.3","spark_pilot_2","7336","7","13","Male","","false","","","","","[610.3999999999069]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","89","527464","0.0-3.0-13.0-4.0-1.3","spark_pilot_2","7336","7","13","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","90","536417","0.0-3.0-13.0-5.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","1584.8999999999069","<p> Time to play the dot game! </p>
            <p> For 15 seconds, click the red dots on the following screen as they appear. </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","91","551419","0.0-3.0-13.0-6.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","[89]","","","rest practice","","10","","","","","0","15000","","","","","",""
"learning-instructions","92","559040","0.0-3.0-13.0-7.0-0.0","spark_pilot_2","7336","7","13","Male","","","","","","","1487.5","<p> You have almost finished this part of the game! </p>
            <p> We are going to ask you to make a few more choices. </p>","","instructions","","","","","","","","","","","","","",""
