"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"html-keyboard-response","20","145515","0.0-3.0-4.0-1.0","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","149533","0.0-3.0-4.0-0.1","spark_pilot_2","7313","8","11","Female","","false","","","","","[343.89999985694885]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","150046","0.0-3.0-4.0-1.1","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","154080","0.0-3.0-4.0-0.2","spark_pilot_2","7313","8","11","Female","","false","","","","","[463.60000014305115]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","24","154593","0.0-3.0-4.0-1.2","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","25","165594","0.0-3.0-5.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","1105.6999998092651","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","26","176177","0.0-3.0-5.0-0.1","spark_pilot_2","7313","8","11","Female","","","","","","","1409.2000000476837","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","188905","0.0-3.0-5.0-0.2","spark_pilot_2","7313","8","11","Female","","","","","","","1488.2000000476837","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","196496","0.0-3.0-5.0-0.3","spark_pilot_2","7313","8","11","Female","","","","","","","1202.3999998569489","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","29","200518","0.0-3.0-6.0-0.0","spark_pilot_2","7313","8","11","Female","","false","","","","","[1470.5]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","","","",""
"html-keyboard-response","30","201031","0.0-3.0-6.0-1.0","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","31","205057","0.0-3.0-6.0-0.1","spark_pilot_2","7313","8","11","Female","","false","","","","","[493.2000000476837]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","32","205568","0.0-3.0-6.0-1.1","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","33","209591","0.0-3.0-6.0-0.2","spark_pilot_2","7313","8","11","Female","","false","","","","","[480.69999980926514]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","","","",""
"html-keyboard-response","34","210103","0.0-3.0-6.0-1.2","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","35","214134","0.0-3.0-6.0-0.3","spark_pilot_2","7313","8","11","Female","","false","","","","","[631.7999999523163]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","36","214643","0.0-3.0-6.0-1.3","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","37","232579","0.0-3.0-7.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","1083.0999999046326","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","38","241755","0.0-3.0-7.0-0.1","spark_pilot_2","7313","8","11","Female","","","","","","","871.2999999523163","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","39","247785","0.0-3.0-8.0-0.0","spark_pilot_2","7313","8","11","Female","","false","","","","","[588.5,512.0999999046326]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowLeft""]","full practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","40","248297","0.0-3.0-8.0-1.0","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","41","254327","0.0-3.0-8.0-0.1","spark_pilot_2","7313","8","11","Female","","false","","","","","[469.59999990463257,308.5]","./assets/img/space/7.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","42","254842","0.0-3.0-8.0-1.1","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","43","260886","0.0-3.0-8.0-0.2","spark_pilot_2","7313","8","11","Female","","false","","","","","[323.7999999523163,427.10000014305115]","./assets/img/space/8.jpg","[""ArrowDown"",""ArrowLeft""]","full practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","44","261398","0.0-3.0-8.0-1.2","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","45","267426","0.0-3.0-8.0-0.3","spark_pilot_2","7313","8","11","Female","","false","","","","","[764.2999999523163,441.39999985694885]","./assets/img/space/9.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","46","267936","0.0-3.0-8.0-1.3","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","47","273950","0.0-3.0-8.0-0.4","spark_pilot_2","7313","8","11","Female","","false","","","","","[326,385.59999990463257]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","48","274453","0.0-3.0-8.0-1.4","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","49","286318","0.0-3.0-9.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","1517.4000000953674","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","50","296107","0.0-3.0-9.0-0.1","spark_pilot_2","7313","8","11","Female","","","","","","","2598.100000143051","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","51","300128","0.0-3.0-10.0-0.0","spark_pilot_2","7313","8","11","Female","","false","","","","","[853.3999998569489]","./assets/img/space/catch/0.jpg","[""ArrowUp""]","catch practice","space","-10","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp","true","","","","","","","",""
"html-keyboard-response","52","300640","0.0-3.0-10.0-1.0","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","53","304675","0.0-3.0-10.0-0.1","spark_pilot_2","7313","8","11","Female","","false","","","","","[543.5999999046326]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","54","305191","0.0-3.0-10.0-1.1","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","55","309223","0.0-3.0-10.0-0.2","spark_pilot_2","7313","8","11","Female","","false","","","","","[531.9000000953674]","./assets/img/space/catch/2.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","56","309738","0.0-3.0-10.0-1.2","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","57","325134","0.0-3.0-11.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","1701.0999999046326","<p> After you explore a place to find treasure, it will be time to play a different game. </p>
            <p> During this game, red dots will appear on the screen and fall down slowly. </p>
            <p><b> You must click on them before they reach the bottom. </b></p>
            <img src='./assets/img/instructions/dotGame.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","58","332927","0.0-3.0-11.0-0.1","spark_pilot_2","7313","8","11","Female","","","","","","","2097.199999809265","<p> For every dot you click, you will earn additional treasure. </p>
            <p> Let’s try practicing that now. </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","59","347943","0.0-3.0-12.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","[124,73]","","","rest practice","","20","","","","","0","15000","","","","","",""
"learning-instructions","60","355933","0.0-3.0-13.0-0.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","2710.7000000476837","<p> Now, you will practice a shortened version of the game to get a sense of how it all fits together. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","61","359912","0.0-3.0-13.0-0.0-0.1","spark_pilot_2","7313","8","11","Female","","","","","","","771.2000000476837","<p>This time you are searching for treasure in outer space.</p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","62","376194","0.0-3.0-13.0-1.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","1453.2999999523163","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","63","382226","0.0-3.0-13.0-2.0-0.0","spark_pilot_2","7313","8","11","Female","","false","","","","","[1004.7000000476837,676]","./assets/img/space/11.jpg","[""ArrowDown"",""ArrowLeft""]","practice block","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","64","382743","0.0-3.0-13.0-2.0-1.0","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","65","388769","0.0-3.0-13.0-2.0-0.1","spark_pilot_2","7313","8","11","Female","","false","","","","","[516.4000000953674,830.0999999046326]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","66","389283","0.0-3.0-13.0-2.0-1.1","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","67","395306","0.0-3.0-13.0-2.0-0.2","spark_pilot_2","7313","8","11","Female","","false","","","","","[639.0999999046326,410]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","68","395816","0.0-3.0-13.0-2.0-1.2","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","69","401859","0.0-3.0-13.0-2.0-0.3","spark_pilot_2","7313","8","11","Female","","false","","","","","[679.6000001430511,330.40000009536743]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","70","402377","0.0-3.0-13.0-2.0-1.3","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","71","408393","0.0-3.0-13.0-2.0-0.4","spark_pilot_2","7313","8","11","Female","","false","","","","","[633.1000001430511,395.5]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","72","408896","0.0-3.0-13.0-2.0-1.4","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","73","414904","0.0-3.0-13.0-2.0-0.5","spark_pilot_2","7313","8","11","Female","","false","","","","","[431.2000000476837,497.5]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","74","415406","0.0-3.0-13.0-2.0-1.5","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","75","421424","0.0-3.0-13.0-2.0-0.6","spark_pilot_2","7313","8","11","Female","","false","","","","","[891.7000000476837,397.69999980926514]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","76","421927","0.0-3.0-13.0-2.0-1.6","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","77","427940","0.0-3.0-13.0-2.0-0.7","spark_pilot_2","7313","8","11","Female","","false","","","","","[655.2999999523163,439.7999999523163]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","78","428442","0.0-3.0-13.0-2.0-1.7","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","79","432453","0.0-3.0-13.0-2.0-0.8","spark_pilot_2","7313","8","11","Female","","false","","","","","[506.09999990463257]","./assets/img/space/catch/3.jpg","[""spaceBar""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","80","432973","0.0-3.0-13.0-2.0-1.8","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","81","449689","0.0-3.0-13.0-3.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","2112.600000143051","<p> Now, you will travel with a friend who will choose whether you go up or down first. </p>
            <p> On these turns, you will just see the animal that they found. You will still get to choose which chest to search for treasure.</p>","","instructions","","","","","","","","","","","","","",""
"revaluation","82","453718","0.0-3.0-13.0-4.0-0.0","spark_pilot_2","7313","8","11","Female","","false","","","","","[1524.5]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","83","454232","0.0-3.0-13.0-4.0-1.0","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","84","458256","0.0-3.0-13.0-4.0-0.1","spark_pilot_2","7313","8","11","Female","","false","","","","","[731.8999998569489]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","practice block","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","",""
"html-keyboard-response","85","458769","0.0-3.0-13.0-4.0-1.1","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","86","462801","0.0-3.0-13.0-4.0-0.2","spark_pilot_2","7313","8","11","Female","","false","","","","","[334.90000009536743]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","87","463317","0.0-3.0-13.0-4.0-1.2","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","88","467338","0.0-3.0-13.0-4.0-0.3","spark_pilot_2","7313","8","11","Female","","false","","","","","[349.40000009536743]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","89","467856","0.0-3.0-13.0-4.0-1.3","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","90","477015","0.0-3.0-13.0-5.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","1768.1999998092651","<p> Time to play the dot game! </p>
            <p> For 15 seconds, click the red dots on the following screen as they appear. </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","91","492019","0.0-3.0-13.0-6.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","[97]","","","rest practice","","10","","","","","0","15000","","","","","",""
"learning-instructions","92","501283","0.0-3.0-13.0-7.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","3125","<p> You have almost finished this part of the game! </p>
            <p> We are going to ask you to make a few more choices. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","93","517118","0.0-3.0-13.0-7.0-0.1","spark_pilot_2","7313","8","11","Female","","","","","","","1771.6000001430511","<p> First, you need to decide whether to go up or down. When you see each picture, use the arrow keys to make your choice. </p>
            <p><b>You will not see which animal you found, but try to get to the one that will give you the most treasure.</b></p>","","instructions","","","","","","","","","","","","","",""
