"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch"
"learning-instructions","10","90178","0.0-3.0-1.0-0.6","spark_pilot_2","7420","5","17","Female","","","","","","","3349.100000023842","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","11","98626","0.0-3.0-1.0-0.7","spark_pilot_2","7420","5","17","Female","","","","","","","1385.7999999523163","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","",""
"revaluation","12","102652","0.0-3.0-2.0-0.0","spark_pilot_2","7420","5","17","Female","","false","","","","","[849.2000000476837]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false"
"html-keyboard-response","13","103162","0.0-3.0-2.0-1.0","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","14","107173","0.0-3.0-2.0-0.1","spark_pilot_2","7420","5","17","Female","","false","","","","","[382.1999999284744]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false"
"html-keyboard-response","15","107676","0.0-3.0-2.0-1.1","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","16","111695","0.0-3.0-2.0-0.2","spark_pilot_2","7420","5","17","Female","","false","","","","","[360.89999997615814]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false"
"html-keyboard-response","17","112200","0.0-3.0-2.0-1.2","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"learning-instructions","18","118849","0.0-3.0-3.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","","1886.3999999761581","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","",""
"revaluation","19","122860","0.0-3.0-4.0-0.0","spark_pilot_2","7420","5","17","Female","","false","","","","","[721.6999999284744]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false"
"html-keyboard-response","20","123361","0.0-3.0-4.0-1.0","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","21","127375","0.0-3.0-4.0-0.1","spark_pilot_2","7420","5","17","Female","","false","","","","","[186.89999997615814]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false"
"html-keyboard-response","22","127877","0.0-3.0-4.0-1.1","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","23","131884","0.0-3.0-4.0-0.2","spark_pilot_2","7420","5","17","Female","","false","","","","","[357.7999999523163]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false"
"html-keyboard-response","24","132393","0.0-3.0-4.0-1.2","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"learning-instructions","25","143681","0.0-3.0-5.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","","1326.5","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","",""
"learning-instructions","26","156629","0.0-3.0-5.0-0.1","spark_pilot_2","7420","5","17","Female","","","","","","","3766.100000023842","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","",""
"learning-instructions","27","170161","0.0-3.0-5.0-0.2","spark_pilot_2","7420","5","17","Female","","","","","","","2297.899999976158","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","28","178520","0.0-3.0-5.0-0.3","spark_pilot_2","7420","5","17","Female","","","","","","","1958.7999999523163","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","",""
"revaluation","29","182532","0.0-3.0-6.0-0.0","spark_pilot_2","7420","5","17","Female","","false","","","","","[1254.6000000238419]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft",""
"html-keyboard-response","30","183034","0.0-3.0-6.0-1.0","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","31","187049","0.0-3.0-6.0-0.1","spark_pilot_2","7420","5","17","Female","","false","","","","","[492]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight",""
"html-keyboard-response","32","187552","0.0-3.0-6.0-1.1","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","33","191572","0.0-3.0-6.0-0.2","spark_pilot_2","7420","5","17","Female","","false","","","","","[601.2999999523163]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft",""
"html-keyboard-response","34","192075","0.0-3.0-6.0-1.2","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","35","196086","0.0-3.0-6.0-0.3","spark_pilot_2","7420","5","17","Female","","false","","","","","[828.6000000238419]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight",""
"html-keyboard-response","36","196592","0.0-3.0-6.0-1.3","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"learning-instructions","37","215515","0.0-3.0-7.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","","1956.3999999761581","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","",""
"learning-instructions","38","230987","0.0-3.0-7.0-0.1","spark_pilot_2","7420","5","17","Female","","","","","","","7185.400000095367","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","",""
"revaluation","39","234995","0.0-3.0-8.0-0.0","spark_pilot_2","7420","5","17","Female","","true","","","","","[]","./assets/img/space/6.jpg","[]","full practice","space","-5","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","","false"
"html-keyboard-response","40","235501","0.0-3.0-8.0-1.0","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","41","241512","0.0-3.0-8.0-0.1","spark_pilot_2","7420","5","17","Female","","true","","","","","[637.6999999284744]","./assets/img/space/7.jpg","[""ArrowUp""]","full practice","space","-5","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp","false"
"html-keyboard-response","42","242015","0.0-3.0-8.0-1.1","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","43","248029","0.0-3.0-8.0-0.2","spark_pilot_2","7420","5","17","Female","","true","","","","","[512.6000000238419]","./assets/img/space/8.jpg","[""ArrowDown""]","full practice","space","-5","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown","false"
"html-keyboard-response","44","248536","0.0-3.0-8.0-1.2","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","45","254553","0.0-3.0-8.0-0.3","spark_pilot_2","7420","5","17","Female","","true","","","","","[953.5]","./assets/img/space/9.jpg","[""ArrowDown""]","full practice","space","-5","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown","false"
"html-keyboard-response","46","255055","0.0-3.0-8.0-1.3","spark_pilot_2","7420","5","17","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","47","261071","0.0-3.0-8.0-0.4","spark_pilot_2","7420","5","17","Female","","false","","","","","[572.8000000715256,478.89999997615814]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowLeft""]","full practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false"
"html-keyboard-response","48","261579","0.0-3.0-8.0-1.4","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"learning-instructions","49","274963","0.0-3.0-9.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","","2860.5999999046326","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","50","283439","0.0-3.0-9.0-0.1","spark_pilot_2","7420","5","17","Female","","","","","","","1266.8000000715256","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","",""
"revaluation","51","287456","0.0-3.0-10.0-0.0","spark_pilot_2","7420","5","17","Female","","false","","","","","[684.1000000238419]","./assets/img/space/catch/0.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true"
"html-keyboard-response","52","287960","0.0-3.0-10.0-1.0","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","53","291965","0.0-3.0-10.0-0.1","spark_pilot_2","7420","5","17","Female","","false","","","","","[1181.6000000238419]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true"
"html-keyboard-response","54","292467","0.0-3.0-10.0-1.1","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"revaluation","55","387697","0.0-3.0-10.0-0.2","spark_pilot_2","7420","5","17","Female","","true","","","","","[]","./assets/img/space/catch/2.jpg","[]","catch practice","space","-5","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","","true"
"html-keyboard-response","56","388856","0.0-3.0-10.0-1.2","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","",""
"learning-instructions","57","495515","0.0-3.0-11.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","35338.799999952316","<p> After you explore a place to find treasure, it will be time to play a different game. </p>
            <p> During this game, red dots will appear on the screen and fall down slowly. </p>
            <p><b> You must click on them before they reach the bottom. </b></p>
            <img src='./assets/img/instructions/dotGame.jpg' class='instructions-image'>","","instructions","","","","","",""
