"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"html-keyboard-response","17","169692","0.0-3.0-2.0-1.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","177100","0.0-3.0-3.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","2653.699999809265","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","181123","0.0-3.0-4.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1066.1000001430511]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","181637","0.0-3.0-4.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","185658","0.0-3.0-4.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[464]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","186163","0.0-3.0-4.0-1.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","190180","0.0-3.0-4.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[326.39999985694885]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","24","190683","0.0-3.0-4.0-1.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","25","201799","0.0-3.0-5.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1205.4000000953674","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","26","212534","0.0-3.0-5.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1547.6999998092651","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","226480","0.0-3.0-5.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","2673.0999999046326","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","234839","0.0-3.0-5.0-0.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1920.2000000476837","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","29","238850","0.0-3.0-6.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[963]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","","","",""
"html-keyboard-response","30","239352","0.0-3.0-6.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","31","243359","0.0-3.0-6.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[417.2000000476837]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","32","243864","0.0-3.0-6.0-1.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","33","247876","0.0-3.0-6.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[463.19999980926514]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","","","",""
"html-keyboard-response","34","248385","0.0-3.0-6.0-1.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","35","252398","0.0-3.0-6.0-0.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[433.09999990463257]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","",""
"html-keyboard-response","36","252900","0.0-3.0-6.0-1.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","37","273120","0.0-3.0-7.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","3232.399999856949","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","38","283277","0.0-3.0-7.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1817","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","39","289310","0.0-3.0-8.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1436.7999999523163,1215.3000001907349]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","40","289817","0.0-3.0-8.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","41","295848","0.0-3.0-8.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1228,1542.7999999523163]","./assets/img/space/7.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","42","296354","0.0-3.0-8.0-1.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","43","302408","0.0-3.0-8.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[542.5,1661]","./assets/img/space/8.jpg","[""ArrowUp"",""ArrowLeft""]","full practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","44","302919","0.0-3.0-8.0-1.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","45","308959","0.0-3.0-8.0-0.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1520.4000000953674,825.5]","./assets/img/space/9.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","46","309471","0.0-3.0-8.0-1.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","47","315504","0.0-3.0-8.0-0.4","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[382.10000014305115,468]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","48","316007","0.0-3.0-8.0-1.4","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","49","328281","0.0-3.0-9.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1658.6000001430511","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","50","336647","0.0-3.0-9.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1105.7999999523163","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","51","340668","0.0-3.0-10.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1106.7999999523163]","./assets/img/space/catch/0.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","52","341180","0.0-3.0-10.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","53","345221","0.0-3.0-10.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[671.9000000953674]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","54","345731","0.0-3.0-10.0-1.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","55","349754","0.0-3.0-10.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[735.7000000476837]","./assets/img/space/catch/2.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","56","350266","0.0-3.0-10.0-1.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","57","357939","0.0-3.0-11.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","2059.4000000953674","<p> Sometimes, you will come across a special kind of treasure chest that requires a password. </p>
            <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","58","383471","0.0-3.0-11.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","3792.5999999046326","<p> Your friend will send you the password using a series of beeps so that you can open the chest and earn treasure. </p>
            <p> You will hear two kinds of beeps, a high beep and a low beep. </p>
            <p> You should report the number of high beeps that you heard before seeing the chest. </p>
            <img src='./assets/img/instructions/listen.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","59","407177","0.0-3.0-11.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1289.7999999523163","<p> For example, if you hear this series of beeps, you should report 4 as the password using the slider. </p>
            <p> After reporting a password for a chest, you should count the high beeps again starting from 0. </p>
            <p> Let's try practicing that now. </p>","","instructions","","","","","","","","","","","","","",""
"audio-button-response","60","415273","0.0-3.0-12.0-0.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","./assets/audio/beeps/practice_6.wav","null","","","","","","","","","","","","","","",""
"html-slider-response","61","420193","0.0-3.0-12.0-0.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","4890","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","6","beep chest","","","","false","","","","50","0","6","","","",""
"comp-q","62","428036","0.0-3.0-12.0-0.0-2.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","3566.5","<p>Correct! There were 6 high pitched beeps before you saw the chest. </p>","0","beep answer","","","","","","","","","","","","","",""
"audio-button-response","63","436112","0.0-3.0-12.0-0.1-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","./assets/audio/beeps/practice_4.wav","null","","","","","","","","","","","","","","",""
"html-slider-response","64","440851","0.0-3.0-12.0-0.1-1.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","4734","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","4","beep chest","","","","false","","","","50","0","4","","","",""
"comp-q","65","446915","0.0-3.0-12.0-0.1-2.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1850.1000001430511","<p>Correct! There were 4 high pitched beeps before you saw the chest. </p>","0","beep answer","","","","","","","","","","","","","",""
"learning-instructions","66","458530","0.0-3.0-13.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1234.7999999523163","<p> Good job! In the real game we will not tell you if you entered the right password. </p>
            <p> Do your best, the treasure you earn from these chests will also give you extra bonus money. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","67","464940","0.0-3.0-15.0-0.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1120.2000000476837","<p> Now, you will practice a shortened version of the game to get a sense of how it all fits together. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","68","470147","0.0-3.0-15.0-0.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1960.9000000953674","<p>This time you are searching for treasure in outer space.</p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","69","487670","0.0-3.0-15.0-1.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","2630.0999999046326","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","70","493713","0.0-3.0-15.0-2.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1230.0999999046326,855.9000000953674]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","71","494227","0.0-3.0-15.0-2.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","72","500267","0.0-3.0-15.0-2.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[896.1000001430511,361.09999990463257]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","73","500782","0.0-3.0-15.0-2.0-1.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","74","506811","0.0-3.0-15.0-2.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[356.09999990463257,410.59999990463257]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","75","507325","0.0-3.0-15.0-2.0-1.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","76","513358","0.0-3.0-15.0-2.0-0.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[462,706.7000000476837]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","77","513866","0.0-3.0-15.0-2.0-1.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","78","519909","0.0-3.0-15.0-2.0-0.4","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[831.5999999046326,550]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","79","520412","0.0-3.0-15.0-2.0-1.4","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","80","526458","0.0-3.0-15.0-2.0-0.5","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[404.40000009536743,387.30000019073486]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","81","526961","0.0-3.0-15.0-2.0-1.5","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","82","533006","0.0-3.0-15.0-2.0-0.6","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[361.7999999523163,402.10000014305115]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
