"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"learning-instructions","11","121126","0.0-3.0-1.0-0.7","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","9694","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","12","125152","0.0-3.0-2.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1324]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","13","125672","0.0-3.0-2.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","14","129682","0.0-3.0-2.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1899]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","15","130202","0.0-3.0-2.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","16","134242","0.0-3.0-2.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1828]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","17","134762","0.0-3.0-2.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","18","140311","0.0-3.0-3.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","808","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","19","144342","0.0-3.0-4.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[576]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","20","144862","0.0-3.0-4.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","21","148892","0.0-3.0-4.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[869]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","22","149411","0.0-3.0-4.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","23","153422","0.0-3.0-4.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[670]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","24","153941","0.0-3.0-4.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","25","164608","0.0-3.0-5.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","737","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","26","174581","0.0-3.0-5.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","758","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","27","186734","0.0-3.0-5.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","871","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","28","193912","0.0-3.0-5.0-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","760","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","29","197922","0.0-3.0-6.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1718]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","30","198441","0.0-3.0-6.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","31","202482","0.0-3.0-6.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[885]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","32","203001","0.0-3.0-6.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","33","207061","0.0-3.0-6.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[897]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","","","",""
"html-keyboard-response","34","207581","0.0-3.0-6.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","35","211721","0.0-3.0-6.0-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[410]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","36","212240","0.0-3.0-6.0-1.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","37","230074","0.0-3.0-7.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","882","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","38","239252","0.0-3.0-7.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","840","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","39","245300","0.0-3.0-8.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[735,1560]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","40","245821","0.0-3.0-8.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","41","251860","0.0-3.0-8.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[441,1789]","./assets/img/space/7.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","42","252380","0.0-3.0-8.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","43","258421","0.0-3.0-8.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[521,1763]","./assets/img/space/8.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","44","258940","0.0-3.0-8.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","45","265100","0.0-3.0-8.0-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[827,663]","./assets/img/space/9.jpg","[""ArrowDown"",""ArrowLeft""]","full practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","false","","","","","","","","","",""
"html-keyboard-response","46","265620","0.0-3.0-8.0-1.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","47","271680","0.0-3.0-8.0-0.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[423,549]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowLeft""]","full practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false","","","","","","","","","",""
"html-keyboard-response","48","272200","0.0-3.0-8.0-1.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","49","285057","0.0-3.0-9.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2456","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","50","293106","0.0-3.0-9.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","805","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","51","297130","0.0-3.0-10.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[779]","./assets/img/space/catch/0.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","","","",""
"html-keyboard-response","52","297649","0.0-3.0-10.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","53","301659","0.0-3.0-10.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[496]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","","","",""
"html-keyboard-response","54","302179","0.0-3.0-10.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","55","306659","0.0-3.0-10.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[532]","./assets/img/space/catch/2.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","","","",""
"html-keyboard-response","56","307179","0.0-3.0-10.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","57","313922","0.0-3.0-11.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1191","<p> Sometimes, you will come across a special kind of treasure chest that requires a password. </p>
            <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","58","336791","0.0-3.0-11.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1151","<p> Your friend will send you the password using a series of beeps so that you can open the chest and earn treasure. </p>
            <p> You will hear two kinds of beeps, a high beep and a low beep. </p>
            <p> You should report the number of high beeps that you heard before seeing the chest. </p>
            <img src='./assets/img/instructions/listen.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","59","359987","0.0-3.0-11.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","798","<p> For example, if you hear this series of beeps, you should report 4 as the password using the slider. </p>
            <p> After reporting a password for a chest, you should count the high beeps again starting from 0. </p>
            <p> Let's try practicing that now. </p>","","instructions","","","","","","","","","","","","","","","",""
"audio-button-response","60","368089","0.0-3.0-12.0-0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","./assets/audio/beeps/practice_6.wav","null","","","","","","","","","","","","","","","","",""
"html-slider-response","61","381511","0.0-3.0-12.0-0.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","13419","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","5","beep chest","","","","false","","","","50","0","5","","","","","",""
"comp-q","62","389132","0.0-3.0-12.0-0.0-2.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2232","<p>Incorrect! Please try again. Remember to count the number of high pitched beeps only. </p>","0","beep answer","","","","","","","","","","","","","","","",""
"audio-button-response","63","397139","0.0-3.0-12.0-0.1-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","./assets/audio/beeps/practice_6.wav","null","","","","","","","","","","","","","","","","",""
"html-slider-response","64","401203","0.0-3.0-12.0-0.1-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","4063","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","7","beep chest","","","","false","","","","50","0","7","","","","","",""
"comp-q","65","408009","0.0-3.0-12.0-0.1-2.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1460","<p>Incorrect! Please try again. Remember to count the number of high pitched beeps only. </p>","0","beep answer","","","","","","","","","","","","","","","",""
"audio-button-response","66","416018","0.0-3.0-12.0-0.2-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","./assets/audio/beeps/practice_6.wav","null","","","","","","","","","","","","","","","","",""
"html-slider-response","67","420812","0.0-3.0-12.0-0.2-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","4794","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","6","beep chest","","","","false","","","","50","0","6","","","","","",""
"comp-q","68","427067","0.0-3.0-12.0-0.2-2.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2018","<p>Correct! There were 6 high pitched beeps before you saw the chest. </p>","0","beep answer","","","","","","","","","","","","","","","",""
"audio-button-response","69","435169","0.0-3.0-12.0-0.3-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","./assets/audio/beeps/practice_4.wav","null","","","","","","","","","","","","","","","","",""
"html-slider-response","70","443082","0.0-3.0-12.0-0.3-1.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","7912","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","5","beep chest","","","","false","","","","50","0","5","","","","","",""
"comp-q","71","450986","0.0-3.0-12.0-0.3-2.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2558","<p>Incorrect! Please try again. Remember to count the number of high pitched beeps only. </p>","0","beep answer","","","","","","","","","","","","","","","",""
"audio-button-response","72","458988","0.0-3.0-12.0-0.4-0.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","./assets/audio/beeps/practice_4.wav","null","","","","","","","","","","","","","","","","",""
"html-slider-response","73","463289","0.0-3.0-12.0-0.4-1.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","4300","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","4","beep chest","","","","false","","","","50","0","4","","","","","",""
"comp-q","74","469572","0.0-3.0-12.0-0.4-2.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2064","<p>Correct! There were 4 high pitched beeps before you saw the chest. </p>","0","beep answer","","","","","","","","","","","","","","","",""
"learning-instructions","75","480890","0.0-3.0-13.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","953","<p> Good job! In the real game we will not tell you if you entered the right password. </p>
            <p> Do your best, the treasure you earn from these chests will also give you extra bonus money. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","76","495914","0.0-3.0-14.0-0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1326","<p> After you explore a place to find treasure, it will be time to play a different game. </p>
            <p> During this game, red dots will appear on the screen and fall down slowly. </p>
            <p><b> You must click on them before they reach the bottom. </b></p>
            <img src='./assets/img/instructions/dotGame.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","77","503074","0.0-3.0-14.0-0.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1426","<p> For every dot you click, you will earn additional treasure. </p>
            <p> Let’s try practicing that now. </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","78","518076","0.0-3.0-14.0-1.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","[73]","","","rest practice","","10","","","","","","","","","0","15000","","","",""
"learning-instructions","79","525209","0.0-3.0-15.0-0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1832","<p> Now, you will practice a shortened version of the game to get a sense of how it all fits together. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","80","530091","0.0-3.0-15.0-0.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1664","<p>This time you are searching for treasure in outer space.</p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","81","546660","0.0-3.0-15.0-1.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1673","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","82","552694","0.0-3.0-15.0-2.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1008,827]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","83","553215","0.0-3.0-15.0-2.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","84","559256","0.0-3.0-15.0-2.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[525,496]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","85","559776","0.0-3.0-15.0-2.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","86","565796","0.0-3.0-15.0-2.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[741,640]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","87","566315","0.0-3.0-15.0-2.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
